"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the user can access the Advanced Project Options section by navigating to the Configure page of a multi-configuration project.","859","API: Verify Advanced Project Options section is available","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:07 GMT 2025","passed","Mon Oct 27 10:36:07 GMT 2025","","test_advanced_options_section","",""
"","2398","test_not_advanced_checkboxes","tests.api.tests_ui.freestyle","Mon Oct 27 10:34:02 GMT 2025","passed","Mon Oct 27 10:34:04 GMT 2025","","test_build_job","",""
"","1074","test_github_connection_error","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:41 GMT 2025","passed","Mon Oct 27 10:36:42 GMT 2025","","test_github_connection","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1215","UI: 'Use secret text(s) or file(s)' is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:25 GMT 2025","passed","Mon Oct 27 10:36:26 GMT 2025","","test_environment_visible","",""
"Verify the Environment section is visible on Configure page of a multi-configuration project","739","API: Verify Environment section is available","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:09 GMT 2025","passed","Mon Oct 27 10:36:10 GMT 2025","","test_environment_visible","",""
"","612","test_Inspect_build_log_published_build_checkbox_selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:20 GMT 2025","passed","Mon Oct 27 10:36:20 GMT 2025","","test_environment_visible","",""
"Verify that a newly created job without any build history or configuration displays the correct default state in the dashboard jobs table.","504","API: Verification of default state for job without configuration","tests.api.tests_ui.dashboard","Mon Oct 27 10:33:59 GMT 2025","passed","Mon Oct 27 10:33:59 GMT 2025","","test_view_all_jobs","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","685","UI: 'Terminate a build if it's stuck' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:39 GMT 2025","passed","Mon Oct 27 10:36:39 GMT 2025","","test_environment_visible","",""
"A User can enable the ""Build periodically trigger"" in a Freestyle project and that the build runs according to the specified schedule.","55853","User is able to configure and trigger periodic builds as scheduled.","tests.api.tests_ui.freestyle","Mon Oct 27 10:34:06 GMT 2025","passed","Mon Oct 27 10:35:02 GMT 2025","","test_build_triggers","",""
"","710","test_freestyle_project_ui_fields_match_api_json","tests.api.tests_ui.freestyle","Mon Oct 27 10:36:04 GMT 2025","passed","Mon Oct 27 10:36:05 GMT 2025","","test_build_triggers","",""
"Ensure 'Add timestamps to Console Output' checkbox is selected on Configure page of multi-configuration project","623","UI: Verify 'Add timestamps to the Console Output' checkbox is selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:23 GMT 2025","passed","Mon Oct 27 10:36:23 GMT 2025","","test_environment_visible","",""
"Ensure 'delete_checkbox' checkbox is selected on Configure page of a multi-configuration project","607","UI: Verify 'delete_checkbox_is_selected' checkbox is selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:12 GMT 2025","passed","Mon Oct 27 10:36:13 GMT 2025","","test_environment_visible","",""
"Verify that when the number of builds exceeds 30, pagination controls are displayed                     and allow the user to navigate through the build history.","7525","Paginate builds when count exceeds 30","tests.api.tests_ui.pipeline","Mon Oct 27 10:37:51 GMT 2025","passed","Mon Oct 27 10:37:58 GMT 2025","","test_builds_history_pagination","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1074","UI: 'Inspect build log for published build scans' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:36 GMT 2025","passed","Mon Oct 27 10:36:37 GMT 2025","","test_environment_visible","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1069","UI: 'Delete workspace' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:28 GMT 2025","passed","Mon Oct 27 10:36:29 GMT 2025","","test_environment_visible","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1112","UI: 'Use secret text(s) or file(s)' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:31 GMT 2025","passed","Mon Oct 27 10:36:32 GMT 2025","","test_environment_visible","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1060","UI: 'Add timestamps to the Console Output' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:33 GMT 2025","passed","Mon Oct 27 10:36:34 GMT 2025","","test_environment_visible","",""
"Ensure 'Add timestamps to Console Output' checkbox is selected on Configure page of multi-configuration project","680","UI: Verify 'Add timestamps to the Console Output' checkbox is selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:17 GMT 2025","passed","Mon Oct 27 10:36:18 GMT 2025","","test_environment_visible","",""
"","193","The User can add a Display Name to an existing Organization Folder created by API","tests.api.tests_ui.organization_folder","Mon Oct 27 10:36:44 GMT 2025","passed","Mon Oct 27 10:36:44 GMT 2025","","test_add_display_name_api","",""
"Verify that all jobs and folders are listed on the Dashboard page.","354","API: Display list of jobs and folders","tests.api.tests_ui.dashboard","Mon Oct 27 10:33:56 GMT 2025","passed","Mon Oct 27 10:33:56 GMT 2025","","test_view_all_jobs","",""
"Ensure 'Use secret text(s) or file(s)' checkbox is selected on Configure page of a multi-configuration project","553","UI: Verify 'Use secret text(s) or file(s)' checkbox is selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:36:15 GMT 2025","passed","Mon Oct 27 10:36:15 GMT 2025","","test_environment_visible","",""
