"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the memory usage graph is displayed according to the selected timespan.","0","Memory Usage tab - display graph according to the selected Timespan","tests.manage_jenkins.status_information","Thu Jun 26 07:17:26 GMT 2025","broken","Thu Jun 26 07:17:26 GMT 2025","","test_system_information","",""
"","0","test_edit_description_from_project_page","tests.multi_configuration_project_configuration","Thu Jun 26 07:17:26 GMT 2025","broken","Thu Jun 26 07:17:26 GMT 2025","","test_edit_description","",""
"","0","Use_secret_text_is_selected","tests.multi_configuration_project_configuration","Thu Jun 26 07:17:27 GMT 2025","broken","Thu Jun 26 07:17:27 GMT 2025","","test_env_section","",""
"","0","test_trigger_section","tests.freestyle_project","Thu Jun 26 07:17:22 GMT 2025","broken","Thu Jun 26 07:17:22 GMT 2025","","test_freestyle_config_trigger_verif","",""
"","0","Project status changes on the Project page after enabling the project via Configure page","tests.multi_configuration_project_configuration","Thu Jun 26 07:17:27 GMT 2025","broken","Thu Jun 26 07:17:27 GMT 2025","","test_enable_or_disable_the_project","",""
"","0","Display of ""Enable"" button on Project main page when project is disabled","tests.multi_configuration_project_configuration","Thu Jun 26 07:17:27 GMT 2025","broken","Thu Jun 26 07:17:27 GMT 2025","","test_enable_or_disable_the_project","",""
"","0","Disappear a warning message on the Project page","tests.multi_configuration_project_configuration","Thu Jun 26 07:17:27 GMT 2025","broken","Thu Jun 26 07:17:27 GMT 2025","","test_enable_or_disable_the_project","",""
"","0","If no SCM is selected, the project should still be creatable","tests.freestyle_project","Thu Jun 26 07:17:23 GMT 2025","broken","Thu Jun 26 07:17:23 GMT 2025","","test_scm_freestyle_project","",""
"","0","Tooltips for all SCM options should be available","tests.freestyle_project","Thu Jun 26 07:17:24 GMT 2025","broken","Thu Jun 26 07:17:24 GMT 2025","","test_scm_freestyle_project","",""
"","0","Tooltips for all SCM options should be available","tests.freestyle_project","Thu Jun 26 07:17:24 GMT 2025","broken","Thu Jun 26 07:17:24 GMT 2025","","test_scm_freestyle_project","",""
"","0","test_empty_folder_message","tests.folder","Thu Jun 26 07:17:19 GMT 2025","broken","Thu Jun 26 07:17:19 GMT 2025","","test_empty_folder","",""
"","0","The user should be able to select Environment options","tests.freestyle_project","Thu Jun 26 07:17:21 GMT 2025","broken","Thu Jun 26 07:17:21 GMT 2025","","test_environment_set_freestyle_project","",""
"","0","test_default_state_of_the_toggle","tests.multibranch_pipeline_configuration","Thu Jun 26 07:17:28 GMT 2025","broken","Thu Jun 26 07:17:28 GMT 2025","","test_enabled_disabled_toggle","",""
"","0","Project creation with no triggers selected","tests.pipeline","Thu Jun 26 07:17:32 GMT 2025","broken","Thu Jun 26 07:17:32 GMT 2025","","test_build_triggers","",""
"","0","Display of helper icons (tooltips) near trigger checkbox labels","tests.pipeline","Thu Jun 26 07:17:32 GMT 2025","broken","Thu Jun 26 07:17:32 GMT 2025","","test_build_triggers","",""
"Verify that the 'New Item' screen displays a description of each type of project.","0","Display of description each type","tests.new_item","Thu Jun 26 07:17:30 GMT 2025","broken","Thu Jun 26 07:17:30 GMT 2025","","test_select_an_item_type","",""
