"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ensure 'Add timestamps to Console Output' checkbox is selected on Configure page of multi-configuration project","626","UI: Verify 'Add timestamps to the Console Output' checkbox is selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:22 GMT 2025","passed","Mon Oct 27 10:43:22 GMT 2025","","test_environment_visible","",""
"Verify the Environment section is visible on Configure page of a multi-configuration project","651","API: Verify Environment section is available","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:09 GMT 2025","passed","Mon Oct 27 10:43:10 GMT 2025","","test_environment_visible","",""
"Verify that when the number of builds exceeds 30, pagination controls are displayed                     and allow the user to navigate through the build history.","7521","Paginate builds when count exceeds 30","tests.api.tests_ui.pipeline","Mon Oct 27 10:44:52 GMT 2025","passed","Mon Oct 27 10:44:59 GMT 2025","","test_builds_history_pagination","",""
"Verify that all jobs and folders are listed on the Dashboard page.","477","API: Display list of jobs and folders","tests.api.tests_ui.dashboard","Mon Oct 27 10:41:01 GMT 2025","passed","Mon Oct 27 10:41:01 GMT 2025","","test_view_all_jobs","",""
"Ensure 'Use secret text(s) or file(s)' checkbox is selected on Configure page of a multi-configuration project","504","UI: Verify 'Use secret text(s) or file(s)' checkbox is selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:15 GMT 2025","passed","Mon Oct 27 10:43:15 GMT 2025","","test_environment_visible","",""
"","617","test_freestyle_project_ui_fields_match_api_json","tests.api.tests_ui.freestyle","Mon Oct 27 10:43:04 GMT 2025","passed","Mon Oct 27 10:43:05 GMT 2025","","test_build_triggers","",""
"Verify that the user can access the Advanced Project Options section by navigating to the Configure page of a multi-configuration project.","920","API: Verify Advanced Project Options section is available","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:07 GMT 2025","passed","Mon Oct 27 10:43:08 GMT 2025","","test_advanced_options_section","",""
"Ensure 'delete_checkbox' checkbox is selected on Configure page of a multi-configuration project","478","UI: Verify 'delete_checkbox_is_selected' checkbox is selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:12 GMT 2025","passed","Mon Oct 27 10:43:13 GMT 2025","","test_environment_visible","",""
"","1076","test_github_connection_error","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:41 GMT 2025","passed","Mon Oct 27 10:43:43 GMT 2025","","test_github_connection","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1104","UI: 'Delete workspace' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:27 GMT 2025","passed","Mon Oct 27 10:43:28 GMT 2025","","test_environment_visible","",""
"A User can enable the ""Build periodically trigger"" in a Freestyle project and that the build runs according to the specified schedule.","51280","User is able to configure and trigger periodic builds as scheduled.","tests.api.tests_ui.freestyle","Mon Oct 27 10:41:11 GMT 2025","passed","Mon Oct 27 10:42:02 GMT 2025","","test_build_triggers","",""
"","2437","test_not_advanced_checkboxes","tests.api.tests_ui.freestyle","Mon Oct 27 10:41:06 GMT 2025","passed","Mon Oct 27 10:41:09 GMT 2025","","test_build_job","",""
"","237","The User can add a Display Name to an existing Organization Folder created by API","tests.api.tests_ui.organization_folder","Mon Oct 27 10:43:45 GMT 2025","passed","Mon Oct 27 10:43:45 GMT 2025","","test_add_display_name_api","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1053","UI: 'Terminate a build if it's stuck' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:38 GMT 2025","passed","Mon Oct 27 10:43:39 GMT 2025","","test_environment_visible","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1160","UI: 'Use secret text(s) or file(s)' is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:24 GMT 2025","passed","Mon Oct 27 10:43:25 GMT 2025","","test_environment_visible","",""
"Verify that a newly created job without any build history or configuration displays the correct default state in the dashboard jobs table.","554","API: Verification of default state for job without configuration","tests.api.tests_ui.dashboard","Mon Oct 27 10:41:04 GMT 2025","passed","Mon Oct 27 10:41:04 GMT 2025","","test_view_all_jobs","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1136","UI: 'Use secret text(s) or file(s)' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:30 GMT 2025","passed","Mon Oct 27 10:43:31 GMT 2025","","test_environment_visible","",""
"","722","test_Inspect_build_log_published_build_checkbox_selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:19 GMT 2025","passed","Mon Oct 27 10:43:20 GMT 2025","","test_environment_visible","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1195","UI: 'Add timestamps to the Console Output' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:33 GMT 2025","passed","Mon Oct 27 10:43:34 GMT 2025","","test_environment_visible","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","783","UI: 'Inspect build log for published build scans' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:36 GMT 2025","passed","Mon Oct 27 10:43:37 GMT 2025","","test_environment_visible","",""
"Ensure 'Add timestamps to Console Output' checkbox is selected on Configure page of multi-configuration project","473","UI: Verify 'Add timestamps to the Console Output' checkbox is selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:43:17 GMT 2025","passed","Mon Oct 27 10:43:17 GMT 2025","","test_environment_visible","",""
