"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A User can enable the ""Build periodically trigger"" in a Freestyle project and that the build runs according to the specified schedule.","26366","User is able to configure and trigger periodic builds as scheduled.","tests.api.tests_ui.freestyle","Mon Oct 27 10:51:39 GMT 2025","passed","Mon Oct 27 10:52:05 GMT 2025","","test_build_triggers","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1072","UI: 'Delete workspace' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:26 GMT 2025","passed","Mon Oct 27 10:53:27 GMT 2025","","test_environment_visible","",""
"Ensure 'delete_checkbox' checkbox is selected on Configure page of a multi-configuration project","540","UI: Verify 'delete_checkbox_is_selected' checkbox is selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:11 GMT 2025","passed","Mon Oct 27 10:53:11 GMT 2025","","test_environment_visible","",""
"","472","test_Inspect_build_log_published_build_checkbox_selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:18 GMT 2025","passed","Mon Oct 27 10:53:18 GMT 2025","","test_environment_visible","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1115","UI: 'Use secret text(s) or file(s)' is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:23 GMT 2025","passed","Mon Oct 27 10:53:24 GMT 2025","","test_environment_visible","",""
"","2390","test_not_advanced_checkboxes","tests.api.tests_ui.freestyle","Mon Oct 27 10:51:35 GMT 2025","passed","Mon Oct 27 10:51:37 GMT 2025","","test_build_job","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1275","UI: 'Use secret text(s) or file(s)' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:28 GMT 2025","passed","Mon Oct 27 10:53:30 GMT 2025","","test_environment_visible","",""
"","207","The User can add a Display Name to an existing Organization Folder created by API","tests.api.tests_ui.organization_folder","Mon Oct 27 10:53:44 GMT 2025","passed","Mon Oct 27 10:53:44 GMT 2025","","test_add_display_name_api","",""
"Verify that when the number of builds exceeds 30, pagination controls are displayed                     and allow the user to navigate through the build history.","7054","Paginate builds when count exceeds 30","tests.api.tests_ui.pipeline","Mon Oct 27 10:54:51 GMT 2025","passed","Mon Oct 27 10:54:58 GMT 2025","","test_builds_history_pagination","",""
"Verify that all jobs and folders are listed on the Dashboard page.","407","API: Display list of jobs and folders","tests.api.tests_ui.dashboard","Mon Oct 27 10:51:29 GMT 2025","passed","Mon Oct 27 10:51:29 GMT 2025","","test_view_all_jobs","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1143","UI: 'Inspect build log for published build scans' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:35 GMT 2025","passed","Mon Oct 27 10:53:36 GMT 2025","","test_environment_visible","",""
"Ensure 'Use secret text(s) or file(s)' checkbox is selected on Configure page of a multi-configuration project","552","UI: Verify 'Use secret text(s) or file(s)' checkbox is selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:13 GMT 2025","passed","Mon Oct 27 10:53:14 GMT 2025","","test_environment_visible","",""
"","618","test_freestyle_project_ui_fields_match_api_json","tests.api.tests_ui.freestyle","Mon Oct 27 10:53:03 GMT 2025","passed","Mon Oct 27 10:53:03 GMT 2025","","test_build_triggers","",""
"Verify that the user can access the Advanced Project Options section by navigating to the Configure page of a multi-configuration project.","859","API: Verify Advanced Project Options section is available","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:05 GMT 2025","passed","Mon Oct 27 10:53:06 GMT 2025","","test_advanced_options_section","",""
"Verify the Environment section is visible on Configure page of a multi-configuration project","685","API: Verify Environment section is available","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:08 GMT 2025","passed","Mon Oct 27 10:53:09 GMT 2025","","test_environment_visible","",""
"Verify that a newly created job without any build history or configuration displays the correct default state in the dashboard jobs table.","500","API: Verification of default state for job without configuration","tests.api.tests_ui.dashboard","Mon Oct 27 10:51:32 GMT 2025","passed","Mon Oct 27 10:51:32 GMT 2025","","test_view_all_jobs","",""
"","1195","test_github_connection_error","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:41 GMT 2025","passed","Mon Oct 27 10:53:42 GMT 2025","","test_github_connection","",""
"Ensure 'Add timestamps to Console Output' checkbox is selected on Configure page of multi-configuration project","571","UI: Verify 'Add timestamps to the Console Output' checkbox is selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:20 GMT 2025","passed","Mon Oct 27 10:53:21 GMT 2025","","test_environment_visible","",""
"Ensure 'Add timestamps to Console Output' checkbox is selected on Configure page of multi-configuration project","546","UI: Verify 'Add timestamps to the Console Output' checkbox is selected","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:16 GMT 2025","passed","Mon Oct 27 10:53:16 GMT 2025","","test_environment_visible","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1180","UI: 'Terminate a build if it's stuck' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:38 GMT 2025","passed","Mon Oct 27 10:53:39 GMT 2025","","test_environment_visible","",""
"Assert checkbox is selected, click Save, verify redirect to Project page","1209","UI: 'Add timestamps to the Console Output' checkbox is selected and config can be saved","tests.api.tests_ui.multiconfig_config","Mon Oct 27 10:53:32 GMT 2025","passed","Mon Oct 27 10:53:33 GMT 2025","","test_environment_visible","",""
